Ref,Val,Package,PosX,PosY,Rot,Side
"D80","D_Small","D_1206_3216Metric",295.275000,-35.718750,270.000000,bottom
"D81","D_Small","D_1206_3216Metric",304.800000,-54.768750,270.000000,bottom
"D82","D_Small","D_1206_3216Metric",309.562500,-73.818750,270.000000,bottom
"D83","D_Small","D_1206_3216Metric",300.037500,-92.868750,270.000000,bottom
"D84","D_Small","D_1206_3216Metric",333.375000,-7.143750,270.000000,bottom
"D85","D_Small","D_1206_3216Metric",314.325000,-35.718750,270.000000,bottom
"D86","D_Small","D_1206_3216Metric",323.850000,-54.768750,270.000000,bottom
"D87","D_Small","D_1206_3216Metric",328.612500,-73.818750,270.000000,bottom
"D88","D_Small","D_1206_3216Metric",321.468750,-92.868750,270.000000,bottom
"D89","D_Small","D_1206_3216Metric",309.562500,-111.918750,270.000000,bottom
"D90","D_Small","D_1206_3216Metric",352.425000,-7.143750,270.000000,bottom
"D91","D_Small","D_1206_3216Metric",333.375000,-35.718750,270.000000,bottom
"D92","D_Small","D_1206_3216Metric",342.900000,-54.768750,270.000000,bottom
"D93","D_Small","D_1206_3216Metric",347.662500,-73.818750,270.000000,bottom
"D94","D_Small","D_1206_3216Metric",345.281250,-92.868750,270.000000,bottom
"D95","D_Small","D_1206_3216Metric",381.000000,-7.143750,270.000000,bottom
"D96","D_Small","D_1206_3216Metric",371.475000,-35.718750,270.000000,bottom
"D97","D_Small","D_1206_3216Metric",366.712500,-54.768750,270.000000,bottom
"D98","D_Small","D_1206_3216Metric",369.093750,-73.818750,270.000000,bottom
"D99","D_Small","D_1206_3216Metric",376.237500,-97.631250,270.000000,bottom
"D100","D_Small","D_1206_3216Metric",330.993750,-111.918750,270.000000,bottom
"D101","D_Small","D_1206_3216Metric",400.050000,-7.143750,270.000000,bottom
"D102","D_Small","D_1206_3216Metric",400.050000,-35.718750,270.000000,bottom
"D103","D_Small","D_1206_3216Metric",400.050000,-54.768750,270.000000,bottom
"D104","D_Small","D_1206_3216Metric",400.050000,-73.818750,270.000000,bottom
"D105","D_Small","D_1206_3216Metric",400.050000,-92.868750,270.000000,bottom
"D106","D_Small","D_1206_3216Metric",350.043750,-35.718750,270.000000,bottom
"D107","D_Small","D_1206_3216Metric",21.968750,-92.806250,270.000000,bottom
"D108","D_Small","D_1206_3216Metric",53.868750,-109.106250,270.000000,bottom
"D109","D_Small","D_1206_3216Metric",395.287500,-116.681250,270.000000,bottom
"D110","D_Small","D_1206_3216Metric",376.237500,-116.681250,270.000000,bottom
"D111","D_Small","D_1206_3216Metric",357.187500,-116.681250,270.000000,bottom
"Q1","PT236T30E2","SOT-23-6",83.343750,-49.056250,0.000000,bottom
"R7","47","R_0805_2012Metric",82.400000,-43.062500,270.000000,bottom
"R8","680","R_0805_2012Metric",83.568750,-52.006250,180.000000,bottom
